Station_Name,Postcode,X (easting),Y (northing),Latitude,Longitude
Acton,W3 8EA,519701,180170,51.507792,-0.2766089
Addington,CR0 0QA,537728,163196,51.351158,-0.023605341
Barking,IG11 0BB,544989,183280,51.52982,0.088809148
Barnet,EN5 1TE,525610,195833,51.647271,-0.18591394
Battersea,SW11 2TL,527283,175854,51.467349,-0.1689719
Beckenham,BR3 4LR,536834,169498,51.408006,-0.034009912
Bethnal Green,E2 0HU,535223,182797,51.527901,-0.052074847
Bexley,DA7 6BY,549705,175771,51.461121,0.15356267
Biggin Hill,TN16 3UB,541905,159201,51.314232,0.034746479
Brixton,SW9 7NP,531432,175548,51.463652,-0.10938924
Bromley,BR1 1RH,540358,169453,51.406741,0.016606552
Chelsea,SW3 5UF,527144,178063,51.487232,-0.1701776
Chingford,E4 6PP,538312,194309,51.630599,-0.003044007
Chiswick,W4 4JY,520268,178203,51.489993,-0.26911279
Clapham,SW4 0JT,529230,175676,51.465309,-0.14102283
Croydon,CR0 1AR,531995,165038,51.369071,-0.10519915
Dagenham,RM10 7ES,549606,186718,51.559507,0.15677961
Deptford,SE8 5DB,536589,178076,51.485149,-0.034222392
Dockhead,SE1 2BP,533980,179738,51.500708,-0.071144038
Dowgate,EC4R 3UE,532622,180738,51.510014,-0.090321295
Ealing,W13 8RA,517024,180547,51.51174,-0.31503892
East Greenwich,SE7 7RF,540490,178392,51.487034,0.022048753
East Ham,E6 3RS,542802,182508,51.52344,0.056990076
Edmonton,N9 9AA,533739,193818,51.627292,-0.06926167
Eltham,SE9 1BA,543176,174419,51.45066,0.059099824
Enfield,EN1 4LA,534885,197519,51.660276,-0.051290104
Erith,DA17 6HR,549872,178498,51.48558,0.15712044
Euston,NW1 2DH,529772,182635,51.527723,-0.13066788
Feltham,TW14 0LH,510336,174756,51.461035,-0.41318197
Finchley,N3 2RP,526205,190359,51.597945,-0.17928911
Forest Hill,SE23 1HP,536074,173304,51.44239,-0.043469878
Fulham,SW6 5UJ,525008,176918,51.477418,-0.20133019
Greenwich,SE10 8UP,538115,176948,51.474642,-0.012699604
Hainault,IG6 3DY,545718,191773,51.605945,0.10282965
Hammersmith,W6 7NL,523367,178903,51.495617,-0.22425469
Harold Hill,RM3 8UR,554146,191162,51.598213,0.22416897
Harrow,HA5 5RW,513276,189260,51.590813,-0.36622186
Hayes,UB3 1LL,508968,178447,51.494475,-0.43172803
Heathrow,TW6 2RR,507134,176819,51.480192,-0.45862957
Hendon,NW4 4BL,522813,189265,51.588862,-0.22861867
Heston,TW7 4HR,515167,176444,51.475245,-0.34312428
Hillingdon,UB10 0PH,507470,182597,51.532062,-0.45203412
Holloway,N7 7QT,530688,186415,51.561481,-0.11606841
Homerton,E9 6DL,535759,185118,51.548629,-0.043458629
Hornchurch,RM11 1SH,554004,187415,51.564587,0.22047847
Hornsey,N8 8LS,529784,189075,51.585594,-0.12812036
Ilford,IG1 1UE,545075,186911,51.562424,0.091543848
Islington,N1 2TZ,531707,184056,51.540045,-0.10225923
Kensington,W8 4PL,525717,179778,51.502964,-0.19010876
Kentish Town,NW5 1NS,528911,185421,51.552957,-0.14205316
Kingston,KT2 5PR,517844,171226,51.427797,-0.30633295
Lambeth,SE1 7SD,530407,178609,51.4914,-0.12301
Lambeth River,SE1 7SD,530407,178609,51.4914,-0.12301
Lee Green,SE12 8ES,539975,174951,51.456241,0.013274477
Lewisham,SE13 6NH,538131,175010,51.457223,-0.013225992
Leyton,E10 5HG,537503,186876,51.564005,-0.017635715
Leytonstone,E11 3HN,539346,186598,51.561055,0.008825715
Mill Hill,NW7 2HX,521714,192157,51.615091,-0.24347178
Millwall,E14 8JH,537136,179834,51.500814,-0.025666996
Mitcham,CR4 4BJ,527206,168078,51.397484,-0.17287003
New Cross,SE14 5JN,535682,176790,51.473811,-0.04777047
New Malden,KT3 4RW,522166,168126,51.399022,-0.24526359
Norbury,SW16 4AU,530748,169235,51.407077,-0.12155868
North Kensington,W10 5LP,524085,181936,51.522718,-0.21285079
Northolt,UB5 4JT,513827,185250,51.554662,-0.35956941
Old Kent Road,SE1 5JH,533723,178295,51.487801,-0.075390653
Orpington,BR6 9AX,547020,165756,51.371835,0.11079158
Paddington,W2 6NL,526160,181709,51.520219,-0.1830393
Park Royal,NW10 7NU,520345,183328,51.536037,-0.26625645
Peckham,SE5 8PR,533584,176741,51.473869,-0.077978669
Plaistow,E13 8RY,541085,182156,51.520708,0.032116841
Plumstead,SE18 1PP,545297,178538,51.487132,0.091293973
Poplar,E14 0BP,537797,180972,51.51088,-0.015705827
Purley,CR8 4DB,530762,160910,51.332258,-0.12441721
Richmond,TW9 4PN,519243,175674,51.467481,-0.28472212
Romford,RM1 4NU,551165,190502,51.593091,0.18087898
Ruislip,HA4 7TW,508405,188883,51.588382,-0.43662373
Shadwell,E1 0BX,535007,180901,51.510915,-0.055912388
Shoreditch,EC1V 9EY,532990,182596,51.526625,-0.084321144
Sidcup,DA14 6NZ,545665,171879,51.427203,0.093850164
Soho,W1D 5ET,529856,180942,51.512489,-0.13008097
Southall,UB1 3HA,512938,180399,51.511241,-0.3739409
Southgate,N14 6BN,529726,194154,51.63125,-0.12707949
Stanmore,HA7 1JS,518043,190757,51.60329,-0.29693762
Stoke Newington,N16 0AP,533300,186588,51.562425,-0.078344323
Stratford,E15 4LY,539372,184563,51.542762,0.008394931
Surbiton,KT6 6AF,518514,167286,51.392246,-0.29801569
Sutton,SM1 2JX,524666,164923,51.369692,-0.2104682
Tooting,SW17 7SQ,527791,172606,51.438045,-0.16283475
Tottenham,N17 6UE,533496,189985,51.592905,-0.074228457
Twickenham,TW2 5NT,514887,172005,51.435405,-0.3485945
Wallington,SM6 8TE,529016,164214,51.36235,-0.14826874
Walthamstow,E17 5JR,536740,189736,51.58989,-0.027524066
Wandsworth,SW18 1RL,525057,174595,51.45653,-0.20144608
Wembley,HA0 2EG,517684,185014,51.55175,-0.30404126
Wennington,RM13 9EE,554164,180931,51.506287,0.21994824
West Hampstead,NW6 1RR,525394,185189,51.551664,-0.19283552
West Norwood,SE27 0QA,531822,171395,51.42624,-0.10532379
Whitechapel,E1 1LD,534099,181345,51.515121,-0.068820107
Willesden,NW10 2HH,522363,184342,51.544717,-0.23682341
Wimbledon,SW19 1JN,525527,170048,51.415562,-0.19629533
Woodford,IG8 0BS,540406,191944,51.60883,0.026243294
Woodside,CR0 7AL,534937,167005,51.386057,-0.062214832
Belsize,NW3 4HD,527238,184577,51.545752,-0.16647517
Bow,E3 2RU,536996,183523,51.533998,-0.02625006
Clerkenwell,EC1R 4RN,531165,182305,51.524436,-0.11072157
Downham,BR1 5JN,539893,172435,51.433652,0.011101418
Kingsland,E8 4DR,533464,184146,51.540442,-0.076905525
Knightsbridge,SW3 1AL,527740,179575,51.500686,-0.16105159
Silvertown,E16 2BB,540730,180123,51.502529,0.02619276
Southwark,SE1 0EG,532102,179829,51.501967,-0.098150172
Westminster,SW1P 1SB,529572,179164,51.496576,-0.13482383
Woolwich,SE18 5LU,542937,179004,51.49192,0.057515612
